2	ˊ
3	ˇ
4	ˋ
5	˙
b	ㄅ
bi	逼
bi	箄
bi	屄
bi	偪
bi	稫
bi	豍
bi	皀
bi	毴
bi	嫓
bi	𤝸
bi	悂
bi	㡙
bi	𤗚
bi	𥏠
bi	𦀘
bi	㯅
bi	䚜
bi	螕
bi	䮠
bi	䵗
bi	㘠
bi	𢟵
bi	𨻼
bi	𢡅
bi	𧤃
bi	𨲋
bi	𣚡
bi	𨻀
bi	𦶰
bi	𧯪
bi	𦄕
bi	𨲥
bi	𩭧
bi	𩔾
bi	𡠌
bi	𣭈
bi	𤼿
bi	𨯥
bi	𩧿
bi	𫣡
bi	䌿
bi	鲾
bi	𣭌
bi	𤲇
bi	𥚐
bi	󿾺
bi	𣄋
bi2	荸
bi2	鼻
bi2	𣴨
bi2	鼻
bi2	𢊵
bi2	𪌈
bi2	𢍂
bi2	𪍜
bi2	𢋛
bi2	𦤓
bi2	󺻱
bi2	󹁿
bi2	󽤩
bi2	󼪦
bi2	󼘧
bi2	󹫧
bi2	󹧗
bi2	󹠦
bi2	𪤨
bi2	󹜅
bi2	𤢳
bi2	𧓧
bi2	𩫬
bi2	𫜤
bi3	匕
bi3	比
bi3	妣
bi3	沘
bi3	彼
bi3	筆
bi3	鄙
bi3	朼
bi3	疕
bi3	咇
bi3	柀
bi3	秕
bi3	崥
bi3	潷
bi3	貏
bi3	㠲
bi3	夶
bi3	佊
bi3	吡
bi3	㚰
bi3	䏢
bi3	䣥
bi3	笔
bi3	粃
bi3	舭
bi3	啚
bi3	袐
bi3	豼
bi3	䃾
bi3	㪏
bi3	𡳄
bi3	𨝣
bi3	魮
bi3	𠐌
bi3	𩣚
bi3	𤽊
bi3	𠥌
bi3	䘡
bi3	𨟵
bi3	𢩒
bi3	𣔓
bi3	𠬈
bi3	㗗
bi3	𢳋
bi3	𢴩
bi3	㻶
bi3	𨅗
bi3	𠤎
bi3	𡚨
bi3	𢁦
bi3	𥝓
bi3	𡭩
bi3	𣬅
bi3	𣴡
bi3	𠴿
bi3	𢽛
bi3	𣺱
bi3	滗
bi3	𠕩
bi3	𣽠
bi3	𧳠
bi3	𤹦
bi3	𩹻
bi3	𠛡
bi3	𠧅
bi3	𡚧
bi3	𡭼
bi3	𥘇
bi3	𦭓
bi3	𧳴
bi3	𨝚
bi3	𪌄
bi3	𪟨
bi3	󺧪
bi3	󺨶
bi3	󺶼
bi3	󻂍
bi3	󻋪
bi3	󽱌
bi3	𫊤
bi3	󽛽
bi3	󽘴
bi3	󽔆
bi3	󺝈
bi3	󺆳
bi3	󹳨
bi3	󿭴
bi3	𪵝
bi3	𫑣
bi3	󼥇
bi3	󼥆
bi3	𫂌
bi3	󼒒
bi3	𪯮
bi3	󼈻
bi3	󹬱
bi3	󹫝
bi3	󹧵
bi3	󹥀
bi3	󹤁
bi3	𫄂
bi3	㑭
bi3	󹙸
bi3	󹔖
bi3	𡗬
bi3	𠰣
bi3	𣅪
bi3	𠳩
bi3	𦚆
bi3	𩲖
bi3	𨝿
bi3	𤏑
bi3	𨬾
bi3	𫖽
bi3	𫖝
bi3	𪼋
bi3	𫚰
bi3	𫅊
bi3	𪴅
bi4	比
bi4	必
bi4	佛
bi4	庇
bi4	拂
bi4	泌
bi4	俾
bi4	祕
bi4	秘
bi4	陛
bi4	埤
bi4	婢
bi4	敝
bi4	畢
bi4	閉
bi4	弼
bi4	愎
bi4	詖
bi4	賁
bi4	費
bi4	跛
bi4	痺
bi4	睥
bi4	辟
bi4	逼
bi4	鉍
bi4	嗶
bi4	幣
bi4	弊
bi4	碧
bi4	箄
bi4	裨
bi4	鄙
bi4	蔽
bi4	壁
bi4	篦
bi4	斃
bi4	臂
bi4	薜
bi4	避
bi4	璧
bi4	蹕
bi4	襞
bi4	佖
bi4	坒
bi4	咇
bi4	妼
bi4	怭
bi4	畀
bi4	芘
bi4	邲
bi4	柲
bi4	柫
bi4	毖
bi4	珌
bi4	疪
bi4	胇
bi4	苾
bi4	狴
